id,name,latitude,longitude,x_utm,y_utm,category,rating,review,price_level,address,url,services,open_hours,hotspot_score,cluster_id,competitor_density_500m,competitor_density_1km,nearest_neighbor_dist_m,same_category_density_500m,dist_to_cluster_centroid_m,review_log,source_category,source_file,source_table
33280,Waybu coffee & Eatery,-8.5375713,115.2670845,309264.63879401877,9055843.71070946,Western restaurant,4.8,195,0,"F768+XP4, desa, MAS, Ubud, Gianyar Regency, Bali 80571, Indonesia",https://www.google.com/maps/place/Waybu+coffee+%26+Eatery/data=!4m7!3m6!1s0x2dd23d328f9a720f:0x6a33a809c5f7aaa!8m2!3d-8.5375713!4d115.2670845!16s%2Fg%2F11kr6_c2nv!19sChIJD3KajzI90i0RqnpfnIA6owY?authuser=0&hl=en&rclk=1,,[],1.5362140604820485e-09,-1.0,5,14,3594.863447172745,0,1000.0,5.278114659230517,,,
33281,Ely's Kitchen Ubud,-8.4887521,115.2648961,308999.48521671095,9061242.187072016,Restaurant,4.7,884,0,"Jl. Suweta, Bentuyung Sakti, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia",https://www.google.com/maps/place/Ely%27s+Kitchen+Ubud/data=!4m7!3m6!1s0x2dd23dc756caf2c5:0x6c59610b90e05a8!8m2!3d-8.4887521!4d115.2648961!16s%2Fg%2F11fpvb97mj!19sChIJxfLKVsc90i0RqAUOuRCWxQY?authuser=0&hl=en&rclk=1,,[],1.9665881005337835e-09,-1.0,5,21,54.2930755749419,3,1000.0,6.785587645007929,,,
33282,Ack Fried Chicken,-8.0783361,115.1742012,298804.1209496659,9106591.35726091,Fried chicken takeaway,4.7,11,0,"W5CF+MM8, Jl. Raya Air Sanih, Kubutambahan, Kec. Kubutambahan, Kabupaten Buleleng, Bali 81171, Indonesia",https://www.google.com/maps/place/Ack+Fried+Chicken/data=!4m7!3m6!1s0x2dd196ba80c69325:0xa206a09034075f59!8m2!3d-8.0783361!4d115.1742012!16s%2Fg%2F11j30ymgnq!19sChIJJZPGgLqW0S0RWV8HNJCgBqI?authuser=0&hl=en&rclk=1,,[],5.360271802854407e-10,-1.0,2,4,31616.871926040272,0,1000.0,2.4849066497880004,,,
33283,Air sanih natural spring,-8.0778581,115.2170406,303526.1154635473,9106665.131217705,Public swimming pool,4.5,307,0,"W6C8+VR3, Jl. Singaraja-Amlapura, Bukti, Kec. Kubutambahan, Kabupaten Buleleng, Bali 81172, Indonesia",https://www.google.com/maps/place/Air+sanih+natural+spring/data=!4m7!3m6!1s0x2dd19598862553f7:0x98b8f5a92e228031!8m2!3d-8.0778581!4d115.2170406!16s%2Fg%2F11qr56cbs2!19sChIJ91MlhpiV0S0RMYAiLqn1uJg?authuser=0&hl=en&rclk=1,,[],4.5793060171184177e-10,-1.0,1,5,1000.0,0,1000.0,5.730099782973574,,,
33284,CAFE BALISIMO,-8.4949859,115.27068,309639.43831541995,9060555.554781215,Restaurant,4.9,17,0,"Br. Kutuh Kaja, Jl. Tirta Tawar, Kecamatan Ubud, Bali 80571, Indonesia","https://www.google.com/maps/place/CAFE+BALISIMO/@-8.4949859,115.27068,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd23d7445e922bd:0xd5ab22fa21a04340!8m2!3d-8.4949859!4d115.27068!16s%2Fg%2F11ghftdx90?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MDkxOC4xIKXMDSoASAFQAw%3D%3D",,[],1.7547500954437163e-09,-1.0,3,19,227.34168512319337,2,1000.0,2.8903717578961645,,,
33285,padang padang beach,-8.8252325,115.1150101,292678.87935514364,9023946.177370835,Beach,4.4,20,0,"Jl. Labuan Sait, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia","https://www.google.com/maps/place/padang+padang+beach/@-8.8252323,115.1150101,15z/data=!3m1!4b1!4m6!3m5!1s0x2dd25ab6617c1c97:0x62802e5473f8235e!8m2!3d-8.8252325!4d115.1150101!16s%2Fg%2F11y4c07njv?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MDkxOC4xIKXMDSoASAFQAw%3D%3D",,[],6.467467219017686e-10,-1.0,0,9,1990.3282733115627,0,1000.0,3.044522437723423,,,
33286,Wr Parsi,-8.074064,115.1916125,300721.3013290166,9107072.430416718,Restaurant,5.0,1,0,"W5GR+9JH, Jl. Raya Air Sanih, Kubutambahan, Kec. Kubutambahan, Kabupaten Buleleng, Bali 81172, Indonesia",https://www.google.com/maps/place/Wr.Parsi/data=!4m7!3m6!1s0x2dd1941db3be3501:0x479c23c71b069530!8m2!3d-8.074064!4d115.1916125!16s%2Fg%2F11j8qdtptn!19sChIJATW-sx2U0S0RMJUGG8cjnEc?authuser=0&hl=en&rclk=1,,[],2.9508432150840127e-10,-1.0,1,1,1884.6497996763392,0,1000.0,0.6931471805599453,,,
33287,Warung Muslim ¨Banyuwangi¨,-8.0760681,115.2116815,302934.5136865913,9106860.524617419,Restaurant,5.0,1,0,"W6F6+HMF, Jl. Raya Air Sanih, Kubutambahan, Kec. Kubutambahan, Kabupaten Buleleng, Bali 81172, Indonesia",https://www.google.com/maps/place/Warung+Muslim+%C2%A8Banyuwangi%C2%A8/data=!4m7!3m6!1s0x2dd19412a708d145:0x9167197371ee16fb!8m2!3d-8.0760681!4d115.2116815!16s%2Fg%2F11k5t5c9n6!19sChIJRdEIpxKU0S0R-xbucXMZZ5E?authuser=0&hl=en&rclk=1,,[],6.461313181297265e-10,-1.0,3,4,351.76526608528815,1,1000.0,0.6931471805599453,,,
33288,Durian Ajik Krisna Bali,-8.7300167,115.1793364,299705.0631761564,9034513.073937684,Farm,4.2,15,0,"759H+XPW, Jl. Bypass Ngurah Rai, Kuta, Kec. Kuta, Kabupaten Badung, Bali, Indonesia",https://www.google.com/maps/place/Durian+Ajik+Krisna+Bali/data=!4m7!3m6!1s0x2dd2470046051dc7:0x8e8628d15a2c19ab!8m2!3d-8.7300167!4d115.1793364!16s%2Fg%2F11v3hbxryq!19sChIJxx0FRgBH0i0RqxksWtEoho4?authuser=0&hl=en&rclk=1,,[],1.1205309980490333e-09,-1.0,2,11,33705.01527822434,0,1000.0,2.772588722239781,,,
33289,The Barn Gastropub,-8.6570002,115.1325199,294513.1506999758,9042564.38706278,Restaurant,4.7,1130,0,"Jl. Lkr. Nelayan, Canggu, Kec. Kuta Utara, Kabupaten Badung, Bali, Indonesia","https://www.google.com/maps/place/The+Barn+Gastropub/@-8.6570002,115.1325199,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd247879f92b27b:0x94c26101a7f3fcb1!8m2!3d-8.6570002!4d115.1325199!16s%2Fg%2F11fxfx08rd?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MDkxOC4xIKXMDSoASAFQAw%3D%3D",,[],5.925880589357927e-09,0.0,28,60,164.91165292496672,11,602.7644175019491,7.030857476116121,,,
33290,KINKOU Reborn Denpasar,-8.639897,115.20441,302417.148738489,9044494.213225316,Restaurant,4.4,107,0,"Jl. Kusuma Dewa No.58, Pemecutan Kaja, Kec. Denpasar Utara, Kota Denpasar, Bali 80111, Indonesia",https://www.google.com/maps/place/KINKOU+Reborn+Denpasar/data=!4m7!3m6!1s0x2dd240fecc43705f:0xfcccd465a5755e1d!8m2!3d-8.639897!4d115.20441!16s%2Fg%2F11g9jx8l6k!19sChIJX3BDzP5A0i0RHV51pWXUzPw?authuser=0&hl=en&rclk=1,,[],9.483426512659162e-10,-1.0,1,10,578.934802943136,0,1000.0,4.68213122712422,,,
