id,name,category,source_category,source_file,source_table,latitude,longitude,x_utm,y_utm,rating,review_count_log,cluster_id,population_density,nearby_review_count_log_sum_500m,nearby_review_count_log_mean_500m,nearby_avg_rating_500m,same_category_density_250m,same_category_density_500m,same_category_density_1000m,nearest_same_category_distance_m,competitor_saturation_index,business_density_250m,business_density_500m,business_density_1000m,nearest_business_distance_m,poi_diversity_index,nearest_road_distance_m,road_density_500m,intersection_density_500m,road_access_score,is_valid_land,distance_to_water_body_m,distance_to_forest_or_green_area_m,commercial_land_ratio_500m,residential_land_ratio_500m,cluster_centroid_distance_m,nearest_cluster_size,is_noise_area
1333,Kavling sei lekop,housing development,Hospitality,Indonesia.Batam.Hotel.202408042041.db,places,1.0245507,103.947855,382934.57686088514,113262.97833214983,5.0,2.3978952727983707,-1,4388.732137296748,4.595119850134591,2.2975599250672953,4.3,0.0,0.0,0.0,3567.317306340711,0.0,0,1,1,446.5231124140226,0.6931471805579453,8.208317521817929,620.0,180,0.8552180286387189,1,568.1076577804093,328.2698115505221,0.0,0.0,1000.0,0.0,1
1336,Sei lekop,housing society,Hospitality,Indonesia.Batam.Hotel.202408042041.db,places,1.0284147,103.9466862,382804.6579480211,113690.18316124253,3.6,2.1972245773362196,-1,4388.732137296748,4.595119850134591,2.2975599250672953,4.3,0.0,0.0,0.0,12435.732262307058,0.0,0,1,1,446.5231124140226,0.6931471805579453,19.39486919331419,1198.0,354,0.9998404075567802,1,329.008148885916,479.3124807531244,0.0,0.0,1000.0,0.0,1
2394,Tiban Makmur Residence Tahap 2,housing complex,Hospitality,Indonesia.Batam.Hotel.202408042041.db,places,1.1275992,103.9720389,385629.49691130954,124653.94505831676,4.3,3.6109179126442243,-1,2626.697343844494,7.166265974133638,3.583132987066819,4.35,1.0,1.0,1.0,227.1439624582843,1.2732395447351628,1,1,1,227.1439624582843,-1.000088900581841e-12,4.374323416678786,478.0,173,0.8196994991652754,0,247.94426035827945,0.0,0.0,0.0,1000.0,0.0,1
2397,Komp Tiban Makmur Tahap 1,housing complex,Hospitality,Indonesia.Batam.Hotel.202408042041.db,places,1.1261703,103.970572,385466.21678046003,124496.04009148222,4.4,3.5553480614894135,-1,2626.697343844494,7.166265974133638,3.583132987066819,4.35,1.0,1.0,1.0,227.1439624582843,1.2732395447351628,1,1,1,227.1439624582843,-1.000088900581841e-12,4.696133636266608,539.0,188,0.834971539048522,1,320.5914576945605,134.7752552063165,0.0,0.0,1000.0,0.0,1
2427,Penginapan Sari Makmur,hotel,Hospitality,Indonesia.Batam.Hotel.202408042041.db,places,1.1447768,104.017907,390733.9217257446,126551.11212292164,4.0,1.0986122886681098,-1,8196.7314918906,7.795646536334595,1.559129307266919,3.66,1.0,1.0,2.0,141.4040508762712,1.2732395447351628,1,4,5,141.4040508762712,1.3321790402061222,38.16191541884153,221.0,88,0.7549832458214831,1,1598.73723792282,192.3317718377507,0.0,0.0,1000.0,0.0,1
2442,PT  Graha Seraya Pratama,hotel,Hospitality,Indonesia.Batam.Hotel.202408042041.db,places,1.102427,103.965854,384940.31519577163,121871.4378190902,5.0,1.0986122886681098,-1,2626.697343844494,1.0986122886681098,1.0986122886681098,5.0,0.0,0.0,0.0,1024.137093543402,0.0,0,0,0,1024.137093543402,-1.000088900581841e-12,10.631502220378945,745.0,242,0.8864944527231415,1,217.3182544805075,536.3523601182134,0.0,0.0,1000.0,0.0,1
3983,Adhirama kost,hotel,Hospitality,Indonesia.Batam.Hotel.202408042041.db,places,1.1518914,104.0311444,392207.10217618814,127337.10441731985,3.9,2.5649493574615367,-1,9626.992191604691,2.5649493574615367,2.5649493574615367,3.9,0.0,0.0,0.0,1667.8679199546416,0.0,0,0,0,1611.2288390785416,-1.000088900581841e-12,13.614215944722138,648.0,218,0.8621722774194993,1,667.3924796473334,946.0664063845692,0.0,0.0,1000.0,0.0,1
4024,Hotel Utama,temporarily closed,Hospitality,Indonesia.Batam.Hotel.202408042041.db,places,1.1412933,104.0052422,389324.581654343,126166.50653205763,4.2,6.610696044717759,-1,8196.7314918906,6.610696044717759,6.610696044717759,4.2,0.0,0.0,0.0,1408.3579670560277,0.0,0,0,1,735.4059388207385,-1.000088900581841e-12,44.493117075377775,351.0,129,0.7874702342597029,1,1607.4226523502793,962.8760683087928,0.0,0.0,1000.0,0.0,1
4048,Pondok Hiu KASPB,hotel,Hospitality,Indonesia.Batam.Hotel.202408042041.db,places,1.1062999,103.974215,385870.81306989474,122299.25845045797,4.3,3.4011973816621555,-1,2626.697343844494,4.0943445622221,2.04717228111105,4.15,0.0,0.0,1.0,587.4863284397455,0.0,0,1,2,433.68057205760164,0.6931471805579453,29.60634996763119,613.0,201,0.8532377542270444,0,238.8655947304807,0.0,0.0,0.0,1000.0,0.0,1
4349,Airy Komplek Batam Sentosa Raya Ali Haji Batam,temporarily closed,Hospitality,Indonesia.Batam.Hotel.202408042041.db,places,1.1527886,104.0106986,389932.1535435002,127437.06883390518,3.6,2.302585092994046,-1,5742.079344227783,4.499809670330265,2.2499048351651325,3.6,0.0,0.0,0.0,1408.3579670560277,0.0,0,1,3,442.6694901657788,0.6931471805579453,57.08517426914807,376.0,142,0.7935968784260966,1,2195.9523334275614,266.837769736336,0.0,0.0,1000.0,0.0,1
