id,name,category,source_category,source_file,source_table,latitude,longitude,x_utm,y_utm,rating,review_count_log,cluster_id,population_density,nearby_review_count_log_sum_500m,nearby_review_count_log_mean_500m,nearby_avg_rating_500m,same_category_density_250m,same_category_density_500m,same_category_density_1000m,nearest_same_category_distance_m,competitor_saturation_index,business_density_250m,business_density_500m,business_density_1000m,nearest_business_distance_m,poi_diversity_index,nearest_road_distance_m,road_density_500m,intersection_density_500m,road_access_score,is_valid_land,distance_to_water_body_m,distance_to_forest_or_green_area_m,commercial_land_ratio_500m,residential_land_ratio_500m,cluster_centroid_distance_m,nearest_cluster_size,is_noise_area
1,Posyandu Anggrek 8 Baloi Mas Indah Kel  Baloi Indah,hospital,Healthcare,Indonesia.Batam.Kesehatan.202408050759.db,places,1.1283252,104.0057656,389382.3275906415,124732.89894296136,5.0,0.6931471805599453,0,8196.7314918906,13.075120815081151,1.0895934012567625,2.75,1.0,1.0,1.0,196.515334049977,1.2732395447351628,4,11,89,158.43936892366352,2.2538575895913517,40.96339275381499,490.0,188,0.7953678864350164,1,268.02600170876696,751.069370125362,0.0,0.0,2381.143386815206,525.0,0
2,Baloi kesehatan blok b no 16,housing complex,Healthcare,Indonesia.Batam.Kesehatan.202408050759.db,places,1.1304157,104.010546,389914.3228116145,124963.81623061498,0.0,0.0,0,8196.7314918906,101.19653592233362,2.0652354269864004,3.1306122448979585,1.0,1.0,1.0,74.2273733266158,1.2732395447351628,13,48,96,9.763545991268145,3.2939502643308214,25.76571629890418,452.0,170,0.7881345548761843,1,295.7960698535879,854.198833594852,0.0,0.0,1813.789005866226,525.0,0
4,Klinik Kecantikan dan Anti Aging,hospital,Healthcare,Indonesia.Batam.Kesehatan.202408050759.db,places,1.1235002,104.0165641,390583.6989390961,124199.10197924827,3.3,1.3862943611198906,0,8196.7314918906,8.946374826141717,0.7455312355118098,2.5583333333333336,1.0,1.0,1.0,42.54527385926623,1.2732395447351628,5,11,29,26.465676148000348,2.2538575895913517,81.54825518176834,368.0,157,0.7709508459874198,1,583.2516968690056,427.7469557390437,0.0,0.0,2016.3110423984208,525.0,0
7,Lobby Awal Bros Batam,hospital,Healthcare,Indonesia.Batam.Kesehatan.202408050759.db,places,1.1238469,104.0167301,390602.1826919843,124237.42235511972,5.0,0.6931471805599453,0,8196.7314918906,8.946374826141717,0.7455312355118098,2.5583333333333336,1.0,1.0,1.0,42.54527385926623,1.2732395447351628,4,11,29,14.25819873004559,2.2538575895913517,113.97062654533728,360.0,152,0.7689520684128697,1,540.740495188099,470.1600906111457,0.0,0.0,1973.8307175501784,525.0,0
9,Baloi Centre blok D 110  jl  Nusa indah,beauty salon,Healthcare,Indonesia.Batam.Kesehatan.202408050759.db,places,1.1321709,104.0029006,389063.6837547927,125158.1398598762,1.0,0.6931471805599453,0,8196.7314918906,6.556778356158043,1.092796392693007,3.3000000000000003,0.0,0.0,6.0,505.4420653083546,0.0,0,5,77,265.97304762678124,1.791759469222055,25.817555086925683,474.0,183,0.7924391459762388,1,645.5270318275212,1146.473318179403,0.0,0.0,2466.3797037443464,525.0,0
10,𝐊𝐋𝐈𝐍𝐈𝐊 𝐏𝐄𝐍𝐆𝐎𝐁𝐀𝐓𝐀𝐍 𝐀𝐋𝐀𝐓 𝐕𝐈𝐓𝐀𝐋 𝐁𝐀𝐓𝐀𝐌 √ 𝐇 𝐀𝐒𝐄𝐏 𝐉𝐔𝐍𝐀𝐄𝐃𝐈,alternative medicine practitioner,Healthcare,Indonesia.Batam.Kesehatan.202408050759.db,places,1.1276219,104.0120197,390078.1966379341,124654.91416542832,5.0,2.3978952727983707,0,8196.7314918906,18.980056960335673,0.8252198678406815,2.3434782608695657,1.0,3.0,3.0,37.54268885708325,3.819718634205488,3,22,89,37.54268885708325,2.653304872914927,103.4187735039047,610.0,221,0.8180167387688257,1,132.7630323805538,587.9918590135783,0.0,0.0,1901.582047580459,525.0,0
11,Rumah delvin,pharmacy,Healthcare,Indonesia.Batam.Kesehatan.202408050759.db,places,1.1279524,104.0071405,389535.29914641165,124691.63471208047,0.0,0.0,0,8196.7314918906,15.377705908075198,0.9045709357691293,2.564705882352941,0.0,1.0,6.0,352.339721986836,1.2732395447351628,5,16,93,73.9049123519512,2.588573162668117,19.023948836102207,506.0,201,0.7987921514112704,1,313.5409603263309,645.2248601037589,0.0,0.0,2280.2874726685427,525.0,0
14,𝗣𝗨𝗦𝗔𝗧 𝗞𝗟𝗜𝗡𝗜𝗞 𝗣𝗘𝗡𝗚𝗢𝗕𝗔𝗧𝗔𝗡 𝗔𝗟𝗔𝗧 𝗩𝗜𝗧𝗔𝗟 𝗕𝗔𝗧𝗔𝗠,medical office,Healthcare,Indonesia.Batam.Kesehatan.202408050759.db,places,1.1269375,104.0125625,390138.5684418863,124579.23531357574,0.0,0.0,0,8196.7314918906,16.207468238095892,0.8530246441103101,2.0842105263157897,0.0,1.0,1.0,452.12532835735686,1.2732395447351628,3,18,77,72.00042064501082,2.5066618124830002,56.28177713029426,569.0,205,0.8106230884898928,1,182.50100934535593,547.8333881394725,0.0,0.0,1919.2302980789025,525.0,0
16,Terapi Kesehatan Energi Reiki,hypnotherapy service,Healthcare,Indonesia.Batam.Kesehatan.202408050759.db,places,1.1274335,104.0166172,390589.75398512825,124633.91392881925,0.0,0.0,0,8196.7314918906,5.545177444479562,0.46209812037329684,1.7249999999999999,0.0,0.0,0.0,4334.733328458509,0.0,5,11,51,53.424554240047826,2.1383330594990273,146.75595120612326,275.0,112,0.7518799479939074,1,250.6505635134373,843.4030427501048,0.0,0.0,1620.6903054945994,525.0,0
18,1 Day 1 Green Fiber,health food store,Healthcare,Indonesia.Batam.Kesehatan.202408050759.db,places,1.1262813,104.0097583,389826.5197442654,124506.80023898435,5.0,0.6931471805599453,0,8196.7314918906,9.670293665368417,0.6907352618120298,2.4714285714285715,0.0,0.0,0.0,3082.343658457478,0.0,1,13,75,159.89790535744277,2.441015278014703,111.50873441131019,540.0,197,0.8042100125407824,1,92.98604207457467,395.8389807976124,0.0,0.0,2182.288149242365,525.0,0
