id,name,category,source_category,source_file,source_table,latitude,longitude,x_utm,y_utm,rating,review_count_log,cluster_id,population_density,nearby_review_count_log_sum_500m,nearby_review_count_log_mean_500m,nearby_avg_rating_500m,same_category_density_250m,same_category_density_500m,same_category_density_1000m,nearest_same_category_distance_m,competitor_saturation_index,business_density_250m,business_density_500m,business_density_1000m,nearest_business_distance_m,poi_diversity_index,nearest_road_distance_m,road_density_500m,intersection_density_500m,road_access_score,is_valid_land,distance_to_water_body_m,distance_to_forest_or_green_area_m,commercial_land_ratio_500m,residential_land_ratio_500m,cluster_centroid_distance_m,nearest_cluster_size,is_noise_area
1,Baloi Mas Indah  PT,car dealer,Company,Indonesia.Batam.PT.202408042212.db,places,1.1302276,104.0048214,389277.33807809855,124943.23995482779,4.2,2.9444389791664403,0,8196.7314918906,13.976097622612222,1.3976097622612222,2.79,0.0,0.0,0.0,1000.0,0.0,2,9,23,236.36789203185276,0.9404479886513264,23.288193172959865,533.0,211,0.8184307487614657,1,434.77680614393785,985.4841367887498,0.0,0.0,2440.051067562616,299.0,0
3,Baloi Mas Indah,housing complex,Company,Indonesia.Batam.PT.202408042212.db,places,1.1280331,104.0072354,389545.8617458395,124700.55226638306,4.5,4.634728988229636,0,8196.7314918906,12.772124818286285,1.2772124818286286,2.87,0.0,0.0,0.0,1455.5414112871529,0.0,3,9,27,129.6892320249717,0.9404479886513264,17.971803277156084,510.0,203,0.8133969892844886,1,327.31551172449883,649.7195586175209,0.0,0.0,2512.114835533993,299.0,0
9,Baloi Blok L kelurahan Baloi Indah Kecamatan Lubuk Baja Kepulauan Riau,gated community,Company,Indonesia.Batam.PT.202408042212.db,places,1.12915,104.007592,389585.5828754414,124824.00885294843,5.0,1.791759469228055,0,8196.7314918906,16.139420648272758,1.3449517206893964,2.7916666666666665,0.0,0.0,0.0,5160.289688616502,0.0,2,11,27,129.6892320249717,0.8369882167818357,3.429548343559934,579.0,223,0.8290290220370772,1,339.9053006528955,755.5942032185097,0.0,0.0,2384.0019012250677,299.0,0
12,PT ALVA KARYA ABADI,corporate office,Company,Indonesia.Batam.PT.202408042212.db,places,1.1113988,104.0524534,394576.6557728997,122860.02497605962,4.3,2.0794415416798357,1,5272.0895266801635,11.654425027243928,0.7769616684829285,2.7733333333333334,3.0,12.0,24.0,67.26316427138427,15.278874536821952,3,14,30,67.26316427138427,0.48509409129921155,115.3015556608361,376.0,146,0.7818365314764576,1,637.3599750657969,447.37375119592747,0.0,0.0,370.49545308759457,28.0,0
16,Baloi,housing complex,Company,Indonesia.Batam.PT.202408042212.db,places,1.1389341,104.0145719,390362.6057560263,125905.34686372975,0.0,0.0,0,8196.7314918906,7.4547199493640015,0.4969813299576001,1.8266666666666669,0.0,0.0,0.0,1358.353468100238,0.0,4,14,58,52.76896408435809,1.172993472433513,34.312702821341546,407.0,146,0.7901556391942418,1,1149.9555210831488,476.04311810939555,0.0,0.0,1086.4656941048092,299.0,0
24,PT  NILAM SERVOTAMA INDONESIA,corporate office,Company,Indonesia.Batam.PT.202408042212.db,places,1.1310927,104.009128,389756.56726071535,125038.71042106865,0.0,0.0,0,8196.7314918906,23.56596972067007,1.4728731075418793,3.06875,3.0,11.0,24.0,123.14718330022369,14.00563499208679,3,15,29,123.14718330022369,0.908908734893781,12.65814759227993,509.0,199,0.8132665997474227,1,399.77670317239,931.8584210251563,0.0,0.0,2115.7701377123367,299.0,0
35,PT Teknindo fortuna indonesia,corporate office,Company,Indonesia.Batam.PT.202408042212.db,places,1.134758,104.002359,389003.51825479005,125444.15760720248,3.7,1.3862943611198906,0,8196.7314918906,3.6888794541139367,1.8444397270569683,3.95,0.0,1.0,20.0,382.5092228618333,1.2732395447351628,0,1,23,382.5092228618333,-1.000088900581841e-12,45.2759124771123,462.0,176,0.802223349999312,1,937.4599954519637,1265.6196868497443,0.0,0.0,2243.5029855509706,299.0,0
39,PT  Singa Laut Perkasa,corporate office,Company,Indonesia.Batam.PT.202408042212.db,places,1.1120349,104.0286749,391930.8484575618,122931.20301153816,5.0,1.791759469228055,11,5272.0895266801635,7.475339236566737,1.0679056052238196,2.9714285714285715,0.0,3.0,17.0,469.04792870333694,3.819718634205488,0,6,28,438.7125104131301,0.9556998911095345,139.1531358872758,71.0,33,0.7134421571462934,1,1318.8810913804869,797.8488983289814,0.0,0.0,581.7230950906475,21.0,0
42,Siemens Batam Fabrication Yard,construction company,Company,Indonesia.Batam.PT.202408042212.db,places,1.1666764,104.004961,389294.27408393845,128972.54964448212,4.6,3.2188758248682006,0,5742.079344227783,15.05822319060614,2.5097038651010233,4.45,0.0,0.0,0.0,4911.102377817887,0.0,2,5,35,151.88268651804873,1.791759469222055,430.20468450885903,9.0,6,0.6945571952629553,1,1966.8738771837325,605.8698329992849,0.0,0.0,2447.0157826380023,299.0,0
43,PT BBM,corporate office,Company,Indonesia.Batam.PT.202408042212.db,places,1.156727,104.0048898,389285.9644069834,127872.67340291965,5.0,0.6931471805599453,0,5742.079344227783,6.866933284461882,0.5282256372662986,2.0538461538461537,3.0,11.0,24.0,20.201412840517296,14.00563499208679,3,12,28,20.201412840517296,0.2711893730398441,67.5978888830038,287.0,109,0.7628303409561634,1,2449.9361749571717,300.64812343595673,0.0,0.0,1663.3413332381426,299.0,0
