id,name,category,source_category,source_file,source_table,latitude,longitude,x_utm,y_utm,rating,review_count_log,cluster_id,population_density,nearby_review_count_log_sum_500m,nearby_review_count_log_mean_500m,nearby_avg_rating_500m,same_category_density_250m,same_category_density_500m,same_category_density_1000m,nearest_same_category_distance_m,competitor_saturation_index,business_density_250m,business_density_500m,business_density_1000m,nearest_business_distance_m,poi_diversity_index,nearest_road_distance_m,road_density_500m,intersection_density_500m,road_access_score,is_valid_land,distance_to_water_body_m,distance_to_forest_or_green_area_m,commercial_land_ratio_500m,residential_land_ratio_500m,cluster_centroid_distance_m,nearest_cluster_size,is_noise_area
15,SIB Batam,community college,Education,Indonesia.Batam.School.202408060757.db,places,1.1272635,104.0158592,390505.40492519765,124615.14945619283,5.0,0.6931471805599453,0,8196.7314918906,16.193455410727474,1.7992728234141637,3.9777777777777774,0.0,0.0,1.0,997.0424348698172,0.0,2,8,27,96.7654153772946,1.5810937501658235,179.6047722940435,305.0,120,0.7588691027889226,1,335.0375178506777,805.4145493584912,0.0,0.0,582.9097977881281,52.0,0
27,Sekolah Suluh Bangsa,school,Education,Indonesia.Batam.School.202408060757.db,places,1.1566271,104.0031088,389087.78981593176,127861.69927510765,5.0,1.791759469228055,2,5742.079344227783,5.375278407684165,0.8958797346140276,1.6500000000000001,0.0,0.0,4.0,512.534986353625,0.0,3,5,19,22.249650563785348,1.5607104090364068,34.836520082711104,232.0,91,0.7462106601128632,1,2631.2412556049976,167.84448192385008,0.0,0.0,512.6483312005766,20.0,0
36,SuksesMuda Education,education center,Education,Indonesia.Batam.School.202408060757.db,places,1.1304264,104.0106331,389924.01484383945,124964.99578208645,0.0,0.0,0,8196.7314918906,17.25423491151715,1.7254234911517148,3.8400000000000007,1.0,1.0,2.0,229.97999174770393,1.2732395447351628,2,9,40,154.13029804838732,1.6094379124281004,16.28557275336401,455.0,169,0.7913399641968561,1,297.3876677709164,856.126904167245,0.0,0.0,109.78928900414823,52.0,0
46,Baloi Mas Indah,housing complex,Education,Indonesia.Batam.School.202408060757.db,places,1.1280331,104.0072354,389545.8617458395,124700.55226638306,4.5,4.634728988229636,0,8196.7314918906,21.063117158025783,1.9148288325477985,4.218181818181818,0.0,0.0,1.0,743.14417189421,0.0,4,10,33,79.73067030195102,1.7986522062451287,17.971803277156084,510.0,203,0.8023827212252457,1,327.31551172449883,649.7195586175209,0.0,0.0,551.1761918826036,52.0,0
56,KP2A Education Centre,community college,Education,Indonesia.Batam.School.202408060757.db,places,1.126748,104.0069133,389509.97311353055,124558.50031451992,5.0,0.6931471805599453,0,8196.7314918906,18.894063457656255,1.717642132514205,4.245454545454546,0.0,0.0,1.0,997.0424348698172,0.0,6,10,28,60.07311437558715,1.9722469794154416,32.936211159247875,467.0,187,0.7935210051193123,1,207.84212236193935,535.9712207139967,0.0,0.0,658.2054057289844,52.0,0
62,TK Islam Robbani,kindergarten,Education,Indonesia.Batam.School.202408060757.db,places,1.1162517,104.036237,392772.43659843935,123397.0784279934,5.0,1.6094379124341003,3,5272.0895266801635,7.3901814282264295,1.0557402040323471,3.5714285714285716,0.0,1.0,1.0,448.6060076399037,1.2732395447351628,2,6,34,107.8124731148831,0.9556998911095345,15.533033168552132,578.0,199,0.8160990059304902,1,1481.038109651236,1428.8457430638036,0.0,0.0,1955.071576536565,237.0,0
87,PONDOK TA LIMUL QUR AN BATU MERAH ATAS,school,Education,Indonesia.Batam.School.202408060757.db,places,1.1844241,104.0134215,390236.35678962665,130934.17310071734,5.0,0.6931471805599453,1,5742.079344227783,13.453656511310683,1.2230596828464257,3.2181818181818183,0.0,4.0,9.0,304.8758569568845,5.092958178940651,1,10,26,124.2242278796666,1.366711052050204,11.291792346617374,284.0,103,0.7570035395806117,1,1574.2781346974855,146.05656243266438,0.0,0.0,796.8981852038422,50.0,0
91,Taman Kanak-Kanak Al - Muhajirin,kindergarten,Education,Indonesia.Batam.School.202408060757.db,places,1.1865949,104.0096789,389820.0109912249,131174.29732828162,4.7,1.3862943611198906,1,5742.079344227783,4.564348191467836,0.5705435239334795,3.0875,1.0,2.0,2.0,140.93662123063817,2.5464790894703255,3,7,12,52.703175675219384,0.9743147528663494,179.21100205263963,56.0,28,0.7087740199217224,1,2033.9565392334382,375.594071058982,0.0,0.0,1254.4560157157152,50.0,0
93,TPA Asakinatulmardiyah,school,Education,Indonesia.Batam.School.202408060757.db,places,1.1856665,104.0084254,389680.4997826224,131071.71529176742,5.0,0.6931471805599453,1,0.0,3.8712010109078907,0.5530287158439844,2.814285714285714,0.0,2.0,4.0,448.97109525667884,2.5464790894703255,2,6,11,173.1659653082436,1.0042424730510766,103.93982122962416,42.0,22,0.707012438770688,0,2066.9532421027934,229.2075331768791,0.0,0.0,1294.6929996294393,50.0,0
95,TK DAR EL FIKRI,kindergarten,Education,Indonesia.Batam.School.202408060757.db,places,1.1841912,104.0123293,390114.8207526809,130908.46997803122,5.0,0.6931471805599453,1,5742.079344227783,9.326522126265592,0.9326522126265593,3.16,0.0,2.0,3.0,257.64978792667944,2.5464790894703255,2,9,23,124.2242278796666,1.4184836619406567,10.067316581018098,178.0,68,0.7356927392217371,1,1637.687579662705,260.43046072564476,0.0,0.0,857.8553880932077,50.0,0
