id,name,category,source_category,source_file,source_table,latitude,longitude,x_utm,y_utm,rating,review_count_log,cluster_id,population_density,nearby_review_count_log_sum_500m,nearby_review_count_log_mean_500m,nearby_avg_rating_500m,same_category_density_250m,same_category_density_500m,same_category_density_1000m,nearest_same_category_distance_m,competitor_saturation_index,business_density_250m,business_density_500m,business_density_1000m,nearest_business_distance_m,poi_diversity_index,nearest_road_distance_m,road_density_500m,intersection_density_500m,road_access_score,is_valid_land,distance_to_water_body_m,distance_to_forest_or_green_area_m,commercial_land_ratio_500m,residential_land_ratio_500m,cluster_centroid_distance_m,nearest_cluster_size,is_noise_area
75,Alsin Jaya,building materials store,Retail,Indonesia.Batam.Toko Bangunan.202408021219.db,places,1.1534112,104.0050531,389304.0063605799,127506.1144174391,0.0,0.0,0,5742.079344227783,20.17068528361157,1.6808904403009641,3.2083333333333335,5.0,6.0,24.0,84.31408056086767,7.639437268410976,7,11,41,84.31408056086767,1.349792396166401,34.41768707343678,377.0,144,0.7748555767124706,1,2627.7503139305018,583.3181446661617,0.0,0.0,736.219273307059,58.0,0
77,Mitra Tata Indah  CV,building materials store,Retail,Indonesia.Batam.Toko Bangunan.202408021219.db,places,1.1537469,104.0057335,389379.72704813036,127543.19866824336,0.0,0.0,0,5742.079344227783,18.666607886835287,1.5555506572362738,3.2416666666666667,5.0,5.0,24.0,84.31408056086767,6.366197723675814,7,11,41,84.31408056086767,1.589026915166973,44.25170726088169,392.0,151,0.7776428093695337,1,2544.5731671470644,594.371508130004,0.0,0.0,744.1623118096776,58.0,0
94,Bangunsukses Niagatama Nusantara  PT,building materials store,Retail,Indonesia.Batam.Toko Bangunan.202408021219.db,places,1.160984,104.001689,388929.979245853,128343.39868188387,0.0,0.0,-1,5742.079344227783,5.342334251964811,1.7807780839882703,3.0,0.0,2.0,8.0,343.99186558845616,2.5464790894703255,0,2,9,343.99186558845616,-1.000088900581841e-12,176.54769119179022,22.0,13,0.7005512981939713,1,2525.0884366232144,41.00179747057167,0.0,0.0,1000.0,0.0,1
100,Toko Win Keramik,building materials store,Retail,Indonesia.Batam.Toko Bangunan.202408021219.db,places,1.1492296,104.0104567,389905.10099651257,127043.64113446951,0.0,0.0,0,5742.079344227783,30.21790448920161,1.2590793537167337,3.5416666666666665,7.0,11.0,27.0,32.28669874614713,14.00563499208679,12,23,47,32.28669874614713,1.5890269151659726,49.08475524364497,464.0,183,0.7919641453229463,1,2374.9818886521475,427.6781362184224,0.0,0.0,368.2732426787993,58.0,0
107,Golden Bintangur Timber  PT,building materials store,Retail,Indonesia.Batam.Toko Bangunan.202408021219.db,places,1.153086,104.0065619,389471.87711078534,127470.10581935041,1.0,0.6931471805599453,0,5742.079344227783,22.655591933399563,1.4159744958374727,3.25,4.0,7.0,25.0,7.623866480574833,8.91267681314614,6,15,42,7.623866480574833,1.64622455382187,35.779397698307626,483.0,174,0.7960677674402952,1,2514.8727879076855,709.1086759841314,0.0,0.0,650.1631110087505,58.0,0
112,CV Masindo Utama,building materials store,Retail,Indonesia.Batam.Toko Bangunan.202408021219.db,places,1.1679125,104.0121888,390098.55075304594,129108.91345830329,0.0,0.0,-1,5742.079344227783,1.3862943611198906,0.46209812037329684,0.7666666666666666,0.0,2.0,7.0,411.4161959876929,2.5464790894703255,0,2,13,411.4161959876929,-1.000088900581841e-12,101.31940235731425,94.0,31,0.7166537743377625,1,1154.665429199301,1166.6340219131646,0.0,0.0,1000.0,0.0,1
121,Y & Y Lagundri Tiles  PT,building materials store,Retail,Indonesia.Batam.Toko Bangunan.202408021219.db,places,1.1587124,104.0079795,389629.82984884316,128092.03338555124,0.0,0.0,-1,5742.079344227783,5.043425116919247,1.2608562792298117,2.375,0.0,2.0,10.0,264.4591093905253,2.5464790894703255,0,3,19,264.4591093905253,0.5623351446168083,41.49279617511802,140.0,50,0.727203185399067,1,2043.5209173304008,402.811181760306,0.0,0.0,1000.0,0.0,1
162,Toko Bangunan Salindo Jaya,building materials market,Retail,Indonesia.Batam.Toko Bangunan.202408021219.db,places,1.1663794,104.0320712,392310.7733179672,128938.665151649,5.0,0.6931471805599453,-1,9626.992191604691,5.075173815233827,1.0150347630467653,3.9200000000000004,0.0,0.0,0.0,1193.5036511635305,0.0,2,4,14,31.825988723398776,0.5004024235361879,23.588950630245286,788.0,272,0.8574612151851114,1,781.453415320237,230.18870782760402,0.0,0.0,1000.0,0.0,1
186,Sinar Abadi Bangunan,building materials store,Retail,Indonesia.Batam.Toko Bangunan.202408021219.db,places,1.1550832,104.040368,393233.51707363164,127689.5981888078,0.0,0.0,-1,9626.992191604691,9.102309627762478,1.8204619255524956,3.3,2.0,3.0,10.0,186.37626972555938,3.819718634205488,2,4,11,186.37626972555938,0.5004024235361879,15.6363844485376,360.0,123,0.7718665943913462,1,341.04351236042527,125.66665358437245,0.0,0.0,1000.0,0.0,1
193,CV  Aneka Ceiling Decoration Samurai Paint,shop,Retail,Indonesia.Batam.Toko Bangunan.202408021219.db,places,1.1551966,104.0239848,391410.5877700626,127702.75497117218,3.7,2.302585092994046,1,9626.992191604691,33.707597714248365,1.7740840902235981,3.652631578947368,0.0,1.0,2.0,401.8977042237563,1.2732395447351628,13,18,33,10.816302141779547,1.1165107682067632,38.36403753369492,356.0,141,0.7705593646496763,1,1323.02273953406,428.67724427053923,0.0,0.0,165.75375211262227,27.0,0
196,PT Batam City Point,lumber store,Retail,Indonesia.Batam.Toko Bangunan.202408021219.db,places,1.1569051,104.0244085,391457.79722046066,127891.60767856428,5.0,0.6931471805599453,1,9626.992191604691,37.6196207196765,1.7099827599852953,3.822727272727273,0.0,0.0,0.0,1957.364370891978,0.0,12,21,30,21.461257943214164,0.9017412329452399,42.55863406933882,430.0,165,0.7852957059602829,1,1133.4015489471906,610.8868671585589,0.0,0.0,152.04796067299804,27.0,0
203,UD  JASA BAKTI,hardware store,Retail,Indonesia.Batam.Toko Bangunan.202408021219.db,places,1.1473289,104.0343698,392565.81727912376,126832.61518420323,0.0,0.0,2,9626.992191604691,10.791378809888585,0.8301060622991219,2.876923076923077,1.0,1.0,1.0,17.218027863030507,1.2732395447351628,2,12,27,17.218027863030507,0.6870920273769716,15.114077165821504,732.0,243,0.8464273124598265,1,216.53167138251985,787.2634629596502,0.0,0.0,429.0971692407988,21.0,0
213,Toko usaha keramik 2,building materials store,Retail,Indonesia.Batam.Toko Bangunan.202408021219.db,places,1.1700936,104.025284,391555.71659429115,129349.51796067832,5.0,0.6931471805599453,-1,9626.992191604691,3.4657359027997265,1.7328679513998633,4.65,0.0,1.0,4.0,372.7813305479316,1.2732395447351628,0,1,9,372.7813305479316,-1.000088900581841e-12,12.107989727990415,684.0,250,0.8368749509969742,0,58.82929613849556,0.0,0.0,0.0,1000.0,0.0,1
219,Mandiri Indah Baru,building materials store,Retail,Indonesia.Batam.Toko Bangunan.202408021219.db,places,1.1553595,104.0236631,391374.79880311165,127720.77531546974,3.0,1.0986122886681098,1,9626.992191604691,35.31703562668246,1.765851781334123,3.7199999999999998,8.0,13.0,23.0,38.420983840603995,16.552114081557114,12,19,33,38.420983840603995,1.0790774247613153,37.00264294693778,359.0,141,0.7711908542656396,1,1306.7406267131064,426.74740609044375,0.0,0.0,192.26215070653657,27.0,0
229,Ceilindo Jaya,building materials store,Retail,Indonesia.Batam.Toko Bangunan.202408021219.db,places,1.1552929,104.024002,391412.50524881925,127713.39995436804,5.0,0.6931471805599453,1,9626.992191604691,33.707597714248365,1.7740840902235981,3.652631578947368,8.0,12.0,23.0,14.283046135864156,15.278874536821952,12,18,33,10.816302141779547,1.1165107682067632,28.524995859237922,359.0,142,0.7713794581354727,1,1312.3194481567652,438.72782579929674,0.0,0.0,159.4669827573308,27.0,0
232,TB  HARINDO JAYA,building materials store,Retail,Indonesia.Batam.Toko Bangunan.202408021219.db,places,1.1453721,104.0379784,392967.26862058847,126616.16318975965,5.0,0.6931471805599453,2,9626.992191604691,12.988603387224805,0.8117877117015503,2.65,6.0,11.0,15.0,29.51948282342734,14.00563499208679,7,15,21,29.51948282342734,0.8222653373247879,30.57457763335829,674.0,218,0.8344601131946185,1,404.6177827183733,622.4670839662314,0.0,0.0,66.58333535101549,21.0,0
241,CV MKB,building materials store,Retail,Indonesia.Batam.Toko Bangunan.202408021219.db,places,1.1480485,104.0382947,393002.5622882029,126912.01710750724,5.0,1.0986122886681098,2,9626.992191604691,11.48452599044853,0.765635066029902,2.76,4.0,11.0,18.0,114.62027777146788,14.00563499208679,4,14,25,114.62027777146788,0.6277052571941505,6.3931748878069525,724.0,229,0.8450181216625431,1,460.9652157954848,376.854217685069,0.0,0.0,345.0622693117047,21.0,0
243,Sinar Indah Pratama,lumber store,Retail,Indonesia.Batam.Toko Bangunan.202408021219.db,places,1.145702,104.0380309,392973.1224672876,126652.6304080842,5.0,1.0986122886681098,2,9626.992191604691,13.68175056778475,0.8048088569285147,2.7294117647058824,0.0,0.0,0.0,1957.364370891978,0.0,7,16,21,36.9340700912662,0.7902347553392828,28.071066382343155,674.0,220,0.834515809298175,1,426.1552897404165,590.0915904909419,0.0,0.0,95.66172624681376,21.0,0
245,Yeti Jaya  TB,building materials store,Retail,Indonesia.Batam.Toko Bangunan.202408021219.db,places,1.149325,104.028551,391918.441402339,127053.49617285994,0.0,0.0,-1,9626.992191604691,7.521859252201629,1.5043718504403258,3.8,0.0,2.0,23.0,322.0864999862195,2.5464790894703255,1,4,34,151.7774298292895,0.9502705392302345,41.43008822181226,506.0,172,0.80055127386192,1,609.7499481800563,599.94660056565,0.0,0.0,1000.0,0.0,1
248,Maju Maju Sukses,building materials store,Retail,Indonesia.Batam.Toko Bangunan.202408021219.db,places,1.1500456,104.0382897,393002.0802632821,127132.78902451022,4.0,0.6931471805599453,2,9626.992191604691,5.375278407684165,0.6719098009605207,3.375,3.0,6.0,16.0,184.11715179946322,7.639437268410976,3,7,22,184.11715179946322,0.3767701612544368,31.959346218506088,756.0,230,0.8508621717090222,1,536.0070638230824,273.92173262312775,0.0,0.0,561.0155024105836,21.0,0
249,Tanindo Anugerah Mandiri - Jotun Paint,paint store,Retail,Indonesia.Batam.Toko Bangunan.202408021219.db,places,1.1561418,104.0244032,391457.17849420034,127807.22764763838,5.0,2.3978952727983707,1,9626.992191604691,37.6196207196765,1.7099827599852953,3.822727272727273,0.0,0.0,0.0,1588.6076888371135,0.0,12,21,32,84.38229933605864,0.9017412329452399,74.96384453187046,416.0,154,0.7817691696942773,1,1217.7805562233834,542.1596480117846,0.0,0.0,105.508292029884,27.0,0
251,Cahaya Terang Bangunan,building materials store,Retail,Indonesia.Batam.Toko Bangunan.202408021219.db,places,1.1453794,104.0377132,392937.7604428807,126616.98008297685,0.0,0.0,2,9626.992191604691,12.988603387224805,0.8117877117015503,2.65,6.0,11.0,15.0,10.160435938703136,14.00563499208679,7,15,21,10.160435938703136,0.8222653373247879,59.97171644977162,672.0,218,0.8334053077050221,1,378.31695192680644,640.0493618198875,0.0,0.0,45.85517846212555,21.0,0
253,Gyproc,building materials store,Retail,Indonesia.Batam.Toko Bangunan.202408021219.db,places,1.154965,104.023437,391349.62595312175,127677.17330826352,0.0,0.0,1,9626.992191604691,33.707597714248365,1.7740840902235981,3.652631578947368,7.0,12.0,23.0,50.3468708960724,15.278874536821952,11,18,33,50.3468708960724,1.1165107682067632,35.90403326563035,338.0,135,0.7670068784160315,1,1352.0039524119093,376.48938345239316,0.0,0.0,231.74467346555986,27.0,0
254,Hui Jaya,building materials store,Retail,Indonesia.Batam.Toko Bangunan.202408021219.db,places,1.1438903,104.0383064,393003.7098087428,126452.3436520678,0.0,0.0,2,9626.992191604691,10.434703865949853,0.8026695281499887,2.646153846153846,3.0,10.0,15.0,167.8237203844383,12.732395447351628,5,12,21,167.8237203844383,0.5359610497060694,30.31263047834882,684.0,224,0.8364699488001474,1,402.9763020183757,609.8263430482469,0.0,0.0,156.42684350095064,21.0,0
257,Subur Jaya Sukses,building materials store,Retail,Indonesia.Batam.Toko Bangunan.202408021219.db,places,1.1644912,104.0359855,392746.2380850409,128729.7822486318,0.0,0.0,-1,9626.992191604691,8.456168489578463,1.2080240699397804,4.2,1.0,4.0,9.0,201.87952342592993,5.092958178940651,1,6,11,201.87952342592993,0.796311640170813,28.830442967427846,568.0,204,0.8132564303290952,1,578.0710208375154,591.1988359024459,0.0,0.0,1000.0,0.0,1
267,Mandiry Sejaty,building materials store,Retail,Indonesia.Batam.Toko Bangunan.202408021219.db,places,1.1578489,104.0256019,391590.6210547307,127995.8959125665,0.0,0.0,1,9626.992191604691,27.37680786153676,1.5209337700853756,3.638888888888889,4.0,12.0,21.0,39.945516882333564,15.278874536821952,7,17,29,30.249832015145273,1.0379083330568328,36.9289271038352,512.0,192,0.8018538168816831,1,1037.914200810019,772.6775032212365,0.0,0.0,220.60346557954637,27.0,0
